127.0.0.1 - - [08/Feb/2026:20:13:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:13:24 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:13:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:13:31 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:13:54 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:13:57 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:14:13 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:14:14 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:14:15 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:30 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:33 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:38 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:39 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:42 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:15:43 +0530] "GET /AssetManagementSystem/displayAssets.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:17:45 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:19:24 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:19:45 +0530] "POST /AssetManagementSystem/AssetServlet HTTP/1.1" 500 1244
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:20:20 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:20:25 +0530] "POST /AssetManagementSystem/AssetServlet HTTP/1.1" 500 1244
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:23:04 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:25:59 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:27:58 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 503 793
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:28:02 +0530] "GET /AssetManagementSystem/AssetServlet HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:28:21 +0530] "POST /AssetManagementSystem/AssetServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2026:20:28:21 +0530] "GET /AssetManagementSystem/AssetServlet?msg=success HTTP/1.1" 200 4001
